studentId,class
1,10A
2,8M
3,12R
4,12F
5,6K
6,2Z
7,11N
8,2C
9,12Q
10,11I
11,11L
12,1L
13,7J
14,12J
15,12T
16,2G
17,1X
18,1W
19,8J
20,11V
21,6B
22,1L
23,5V
24,7P
25,6R
26,8Y
27,6S
28,1P
29,11S
30,10X
31,3C
32,12E
33,1K
34,7E
35,4O
36,6T
37,1V
38,3C
39,11U
40,8Y
41,1D
42,5J
43,1T
44,11B
45,8P
46,2D
47,6I
48,1O
49,10Q
50,9G
51,11T
52,9R
53,8G
54,6K
55,7C
56,7D
57,12O
58,12H
59,1M
60,6M
61,7I
62,2Y
63,3B
64,12B
65,6S
66,2F
67,11B
68,6X
69,10W
70,11W
71,8Z
72,2U
73,8K
74,4D
75,8Q
76,10J
77,3W
78,6X
79,9Y
80,9A
81,3V
82,5X
83,5O
84,6F
85,10V
86,7Y
87,1Y
88,5O
89,12Z
90,9U
91,9E
92,3V
93,2P
94,9B
95,7Q
96,4M
97,2K
98,8W
99,6F
100,9N
101,7Z
102,9N
103,6A
104,1P
105,2D
106,4Y
107,10J
108,9K
109,8B
110,12D
111,8Y
112,3K
113,11Z
114,6H
115,5D
116,10N
117,10B
118,1S
119,7F
120,9L
121,9M
122,7A
123,1H
124,11E
125,7R
126,1B
127,2E
128,7F
129,2H
130,9P
131,8C
132,11B
133,2O
134,11T
135,3O
136,1Q
137,4E
138,6Y
139,7R
140,2U
141,10Z
142,3D
143,3C
144,11Z
145,8R
146,5M
147,7Z
148,5Q
149,1Y
150,11Z
151,6W
152,7A
153,2N
154,3M
155,11I
156,3K
157,4P
158,1T
159,11W
160,8E
161,7S
162,3Z
163,7R
164,2E
165,10W
166,7V
167,4E
168,6M
169,10N
170,9S
171,7B
172,10W
173,5X
174,6K
175,7Y
176,3W
177,4O
178,12C
179,8L
180,3K
181,7G
182,2V
183,4H
184,3P
185,5V
186,3E
187,1E
188,2S
189,7F
190,8L
191,2D
192,6A
193,7N
194,4B
195,2X
196,9E
197,11O
198,7I
199,12X
200,11X
201,5U
202,7T
203,8L
204,6Q
205,3D
206,2M
207,12V
208,4E
209,11C
210,6G
211,11C
212,6L
213,2M
214,6D
215,7J
216,7E
217,9B
218,2F
219,1O
220,7X
221,12X
222,7T
223,6S
224,7T
225,6Y
226,11B
227,10Y
228,10Q
229,7H
230,1V
231,11N
232,1Q
233,4E
234,3A
235,11R
236,4T
237,10H
238,7L
239,4E
240,5U
241,11L
242,3U
243,3U
244,5T
245,8H
246,11D
247,2U
248,10I
249,6O
250,2J
251,1A
252,10N
253,7D
254,1L
255,5Y
256,10F
257,12P
258,5U
259,7I
260,11A
261,9P
262,2D
263,6D
264,3A
265,8K
266,11N
267,3B
268,3X
269,8X
270,11O
271,2G
272,6R
273,4Z
274,5Z
275,7C
276,12A
277,5O
278,6T
279,7M
280,4G
281,4J
282,3N
283,9Y
284,4G
285,4B
286,8I
287,3P
288,7L
289,12L
290,4X
291,6B
292,3D
293,6J
294,4V
295,2C
296,4Y
297,12H
298,9I
299,6T
300,8W
301,8P
302,2N
303,11G
304,2K
305,7E
306,10A
307,2W
308,3W
309,2Y
310,6D
311,7Q
312,8U
313,6J
314,3H
315,8T
316,1M
317,5W
318,12X
319,8W
320,11J
321,2E
322,4W
323,11K
324,12K
325,12T
326,3C
327,12H
328,11P
329,3R
330,1T
331,3W
332,11Y
333,8C
334,4B
335,7X
336,1A
337,2W
338,2N
339,9U
340,3S
341,4O
342,10R
343,7Y
344,7Q
345,12V
346,11J
347,2H
348,7H
349,12N
350,4I
351,12G
352,9Y
353,9D
354,10M
355,11D
356,5E
357,3K
358,12S
359,7Y
360,12B
361,1P
362,12R
363,12R
364,5B
365,5L
366,5C
367,9Q
368,11Y
369,10I
370,9S
371,2A
372,7D
373,11C
374,4E
375,12N
376,9X
377,8U
378,7G
379,6A
380,11D
381,10Z
382,11W
383,12X
384,1U
385,1U
386,3L
387,4E
388,9F
389,7T
390,6C
391,3P
392,6Q
393,6U
394,11G
395,4P
396,1H
397,9A
398,9T
399,10R
400,6P
401,5X
402,3J
403,12B
404,5M
405,4C
406,9V
407,10L
408,4B
409,3K
410,1J
411,5C
412,9D
413,1H
414,1R
415,3U
416,11H
417,6X
418,11P
419,4L
420,10K
421,12D
422,9H
423,8Z
424,4S
425,5Y
426,6Q
427,3Z
428,7Z
429,2S
430,9N
431,7C
432,1U
433,3X
434,6K
435,4Y
436,7K
437,5X
438,9L
439,2K
440,2Z
441,9Z
442,2T
443,12N
444,11C
445,7X
446,11P
447,4K
448,10R
449,7H
450,7E
451,4V
452,11S
453,11K
454,12X
455,12Y
456,5D
457,7I
458,10S
459,2J
460,2W
461,9U
462,1U
463,4T
464,1D
465,1O
466,4X
467,7A
468,4I
469,11E
470,12O
471,9B
472,10T
473,8J
474,2I
475,6Z
476,11W
477,6W
478,8W
479,5J
480,8M
481,10E
482,3E
483,1E
484,10P
485,3H
486,7A
487,1T
488,2N
489,6M
490,5X
491,1Q
492,12B
493,9H
494,12O
495,12B
496,7L
497,8M
498,4Z
499,5N
500,4Y
501,1W
502,8S
503,3O
504,4Q
505,11W
506,8O
507,4X
508,3O
509,10Y
510,12N
511,1O
512,6U
513,4U
514,9Z
515,10V
516,1X
517,4R
518,12W
519,8U
520,4S
521,2D
522,7Q
523,2J
524,12M
525,5Z
526,2R
527,5B
528,4D
529,2T
530,2E
531,1D
532,11C
533,11N
534,10U
535,2Z
536,4X
537,10X
538,6X
539,7H
540,5L
541,12M
542,8H
543,6U
544,1G
545,6C
546,9U
547,2I
548,2A
549,1X
550,4O
551,8M
552,6Y
553,3A
554,2S
555,4H
556,8J
557,3L
558,10Y
559,4W
560,7B
561,10P
562,4R
563,12J
564,3F
565,8A
566,4S
567,2Q
568,4M
569,12D
570,7I
571,12Q
572,3D
573,1O
574,12G
575,2N
576,1F
577,10Q
578,2A
579,12W
580,7U
581,9J
582,8N
583,5Y
584,4D
585,4B
586,7C
587,3X
588,5P
589,12P
590,2W
591,3K
592,3M
593,4W
594,12Z
595,1O
596,3Z
597,2J
598,10H
599,5E
600,1V
601,9P
602,11I
603,7J
604,6N
605,2Q
606,12V
607,12O
608,6W
609,2O
610,11L
611,4R
612,3X
613,5J
614,5E
615,7L
616,10V
617,1M
618,5I
619,11S
620,9B
621,12B
622,7J
623,10Y
624,9E
625,2K
626,1W
627,11O
628,11J
629,4K
630,6F
631,1U
632,2J
633,6K
634,3M
635,12M
636,6T
637,3R
638,5W
639,1S
640,4Q
641,4J
642,3L
643,4K
644,4H
645,6G
646,2E
647,12D
648,4H
649,1X
650,12Z
651,6X
652,11L
653,1Y
654,12V
655,5J
656,3S
657,7B
658,1Y
659,7M
660,12I
661,5M
662,2W
663,7J
664,8O
665,6I
666,12G
667,10S
668,10C
669,1P
670,6V
671,7L
672,6O
673,11O
674,6G
675,4L
676,12M
677,2Y
678,7R
679,2M
680,7S
681,6D
682,10L
683,7H
684,3U
685,7U
686,7R
687,6Z
688,5E
689,4B
690,1I
691,4V
692,2Q
693,1S
694,1X
695,5R
696,2A
697,7D
698,4B
699,6B
700,2F
701,4F
702,2A
703,4K
704,6Q
705,2J
706,10A
707,12H
708,6B
709,12W
710,6C
711,1A
712,1K
713,4S
714,4G
715,9T
716,2Y
717,8G
718,10B
719,12U
720,10W
721,12G
722,1P
723,6S
724,4G
725,10L
726,11R
727,3F
728,8B
729,6J
730,6X
731,9U
732,1I
733,10K
734,3S
735,8J
736,2Z
737,4S
738,6C
739,11R
740,2K
741,8C
742,6B
743,1O
744,6T
745,2X
746,4Z
747,3T
748,10P
749,8Q
750,4T
751,2Q
752,3G
753,4D
754,11A
755,1A
756,1L
757,8Y
758,9T
759,4V
760,2S
761,9U
762,1I
763,1D
764,6I
765,4A
766,8H
767,4P
768,9E
769,2W
770,8A
771,12C
772,7V
773,8J
774,8R
775,7P
776,5D
777,7Q
778,2N
779,11P
780,11A
781,12M
782,8T
783,2X
784,4J
785,4B
786,6W
787,1P
788,1N
789,11H
790,7P
791,8V
792,3K
793,12V
794,6J
795,7H
796,1X
797,9A
798,5V
799,3R
800,12L
801,2A
802,4S
803,12E
804,11N
805,1F
806,4Z
807,9I
808,6F
809,11R
810,5U
811,2R
812,3O
813,4S
814,5B
815,4T
816,12U
817,8W
818,8M
819,2X
820,9R
821,11I
822,3C
823,12T
824,7R
825,12G
826,6E
827,6D
828,10X
829,8T
830,2O
831,5J
832,2R
833,8Y
834,11T
835,10H
836,3U
837,1C
838,9T
839,4P
840,11L
841,4W
842,9P
843,7G
844,5M
845,11N
846,2M
847,2M
848,4N
849,12D
850,3T
851,9A
852,11R
853,7S
854,11H
855,10S
856,11C
857,2O
858,4D
859,7L
860,10W
861,5H
862,11C
863,5R
864,5K
865,5L
866,6P
867,1S
868,8R
869,8U
870,1Z
871,10O
872,8U
873,9N
874,5X
875,11H
876,8L
877,7Z
878,3X
879,9E
880,8X
881,3D
882,10L
883,6T
884,9I
885,12B
886,8M
887,11R
888,7P
889,10B
890,12E
891,3D
892,12S
893,10V
894,2O
895,4A
896,2O
897,7L
898,11P
899,11Y
900,5I
901,2X
902,9H
903,12Q
904,9M
905,2S
906,10X
907,4Q
908,2I
909,12R
910,8W
911,8I
912,10Q
913,8Y
914,12R
915,11L
916,8Y
917,4C
918,12M
919,8I
920,9E
921,12E
922,9W
923,1I
924,5S
925,6T
926,10H
927,10A
928,9M
929,8J
930,11B
931,2H
932,3M
933,11E
934,3F
935,2W
936,10O
937,12P
938,7P
939,5X
940,9X
941,7J
942,4C
943,2H
944,10P
945,12T
946,12B
947,5F
948,11A
949,12Z
950,11U
951,11V
952,10V
953,2O
954,12Y
955,6B
956,11V
957,3K
958,12R
959,6L
960,7R
961,2A
962,7J
963,4V
964,10I
965,1F
966,5B
967,1F
968,5U
969,6B
970,11W
971,7U
972,5D
973,6X
974,8T
975,7I
976,11H
977,2Z
978,12Q
979,7N
980,11L
981,12S
982,11Z
983,11Y
984,2D
985,9I
986,4K
987,9R
988,4N
989,4C
990,3J
991,3T
992,10R
993,5Q
994,11J
995,4U
996,9B
997,8M
998,7D
999,8L
1000,8H
1001,10W
1002,9J
1003,3I
1004,1O
1005,11X
1006,3N
1007,8F
1008,3E
1009,3C
1010,7W
1011,1W
1012,11Y
1013,10G
1014,12A
1015,10L
1016,1L
1017,11X
1018,5M
1019,7L
1020,4T
1021,6X
1022,2D
1023,3V
1024,11Y
1025,9G
1026,2U
1027,12N
1028,5T
1029,7X
1030,12M
1031,4Y
1032,6Y
1033,9V
1034,9S
1035,9Y
1036,12H
1037,8Z
1038,9V
1039,5U
1040,7N
1041,2T
1042,8O
1043,4D
1044,5B
1045,6J
1046,9V
1047,4Q
1048,10Z
1049,5M
1050,8C
1051,2N
1052,10I
1053,1R
1054,3I
1055,5E
1056,12Q
1057,4F
1058,12Q
1059,5G
1060,10Z
1061,1R
1062,12D
1063,10P
1064,6E
1065,10B
1066,1Q
1067,8H
1068,2P
1069,1X
1070,4S
1071,9I
1072,3B
1073,7I
1074,8W
1075,9O
1076,5W
1077,10S
1078,9D
1079,5Z
1080,1H
1081,10M
1082,5U
1083,2X
1084,3J
1085,9E
1086,6P
1087,8R
1088,9S
1089,2A
1090,1Y
1091,6Q
1092,1A
1093,12P
1094,6G
1095,8R
1096,4C
1097,10G
1098,1T
1099,4Y
1100,6U
1101,4F
1102,3F
1103,5H
1104,10Y
1105,9B
1106,2S
1107,6D
1108,3B
1109,1C
1110,5O
1111,9Q
1112,3W
1113,1W
1114,11F
1115,5O
1116,10T
1117,9N
1118,10M
1119,1P
1120,9T
1121,8F
1122,3V
1123,10B
1124,8W
1125,7H
1126,8I
1127,2W
1128,11F
1129,7J
1130,1E
1131,2A
1132,9C
1133,10K
1134,5L
1135,7V
1136,10F
1137,12P
1138,7S
1139,10S
1140,6N
1141,8H
1142,3X
1143,12Y
1144,10Y
1145,1X
1146,2I
1147,6S
1148,2C
1149,3R
1150,9R
1151,9H
1152,9M
1153,7B
1154,1H
1155,6G
1156,6L
1157,6T
1158,12Q
1159,6T
1160,4S
1161,6E
1162,8A
1163,4Q
1164,3I
1165,7M
1166,4W
1167,4E
1168,2R
1169,10G
1170,6J
1171,2A
1172,10R
1173,7T
1174,10E
1175,7G
1176,9N
1177,8J
1178,11K
1179,3W
1180,7V
1181,8H
1182,5M
1183,3X
1184,5I
1185,2G
1186,8I
1187,11S
1188,12C
1189,2R
1190,4S
1191,1V
1192,3M
1193,3X
1194,6J
1195,4D
1196,3X
1197,11M
1198,9R
1199,5Z
1200,3D
1201,4I
1202,1X
1203,12M
1204,1S
1205,8A
1206,2B
1207,9R
1208,3C
1209,2L
1210,2U
1211,7L
1212,2Q
1213,11A
1214,10E
1215,10Z
1216,1W
1217,11K
1218,11M
1219,3W
1220,6J
1221,9X
1222,10N
1223,7U
1224,6X
1225,2Y
1226,5V
1227,3R
1228,11S
1229,11L
1230,8H
1231,9D
1232,8T
1233,7Y
1234,7K
1235,10I
1236,7O
1237,1G
1238,10G
1239,4I
1240,8O
1241,8E
1242,5H
1243,9Q
1244,6X
1245,11H
1246,7C
1247,7E
1248,3C
1249,10Y
1250,9N
1251,5K
1252,8S
1253,5Y
1254,7K
1255,3L
1256,6W
1257,7F
1258,8X
1259,9Q
1260,4O
1261,4N
1262,11T
1263,7Z
1264,12H
1265,2Y
1266,10T
1267,12X
1268,6R
1269,12J
1270,9M
1271,11U
1272,10G
1273,1Y
1274,8B
1275,11L
1276,7W
1277,10G
1278,10E
1279,4H
1280,11P
1281,7X
1282,8A
1283,9N
1284,7P
1285,10Z
1286,4Y
1287,10D
1288,5M
1289,1A
1290,3Q
1291,4X
1292,2W
1293,10G
1294,6V
1295,5Z
1296,5M
1297,4A
1298,9J
1299,11Q
1300,2H
1301,10U
1302,6L
1303,4D
1304,6F
1305,3D
1306,1B
1307,7C
1308,9G
1309,12D
1310,12M
1311,10N
1312,7Z
1313,1Z
1314,11X
1315,3V
1316,4F
1317,3I
1318,10G
1319,6K
1320,6S
1321,3J
1322,8Y
1323,10B
1324,12E
1325,2M
1326,6P
1327,4R
1328,2A
1329,6A
1330,7N
1331,7B
1332,1N
1333,3Z
1334,11V
1335,12J
1336,12U
1337,1T
1338,1S
1339,1Y
1340,2J
1341,12Y
1342,1Y
1343,3S
1344,4A
1345,8R
1346,2P
1347,3Z
1348,7C
1349,9L
1350,8E
1351,1B
1352,1N
1353,3Y
1354,9E
1355,2D
1356,1W
1357,11G
1358,3M
1359,12U
1360,12X
1361,3Z
1362,10K
1363,8E
1364,6F
1365,7Y
1366,11E
1367,11L
1368,4Y
1369,7J
1370,4P
1371,2A
1372,3V
1373,9T
1374,3C
1375,12Q
1376,8U
1377,1E
1378,5H
1379,12I
1380,6N
1381,3O
1382,1L
1383,11O
1384,10Q
1385,6R
1386,7F
1387,6O
1388,9Z
1389,1J
1390,6Q
1391,8G
1392,3D
1393,12N
1394,6O
1395,12V
1396,11P
1397,4V
1398,9A
1399,6J
1400,7G
1401,1A
1402,11N
1403,2A
1404,7S
1405,7W
1406,11C
1407,4M
1408,6X
1409,1J
1410,7Y
1411,3G
1412,4R
1413,10E
1414,7Y
1415,9F
1416,4L
1417,5U
1418,2W
1419,8C
1420,11J
1421,12A
1422,7H
1423,9V
1424,6G
1425,4S
1426,5G
1427,8P
1428,8V
1429,6O
1430,4T
1431,3T
1432,12U
1433,3I
1434,9P
1435,5D
1436,8S
1437,7R
1438,9G
1439,7S
1440,7P
1441,10I
1442,8R
1443,12N
1444,8D
1445,6X
1446,1U
1447,11X
1448,7T
1449,10A
1450,11V
1451,2Z
1452,7A
1453,10S
1454,12M
1455,8F
1456,11L
1457,9U
1458,9E
1459,5M
1460,6J
1461,9F
1462,2O
1463,6I
1464,9V
1465,9Z
1466,1J
1467,2D
1468,8P
1469,7N
1470,2B
1471,12N
1472,2W
1473,4W
1474,8E
1475,10Q
1476,6A
1477,10X
1478,2Y
1479,12H
1480,6B
1481,4T
1482,5N
1483,1A
1484,1F
1485,2O
1486,12S
1487,12K
1488,5A
1489,7K
1490,6H
1491,6W
1492,4Q
1493,11R
1494,1G
1495,3Q
1496,4B
1497,8R
1498,5D
1499,5B
1500,8J
1501,4Q
1502,4M
1503,2M
1504,11L
1505,3W
1506,6U
1507,11Z
1508,3H
1509,7F
1510,12Z
1511,7P
1512,7G
1513,1Q
1514,6B
1515,11O
1516,8H
1517,5W
1518,5Z
1519,10G
1520,5N
1521,4D
1522,1S
1523,5G
1524,1O
1525,6B
1526,2K
1527,4P
1528,9R
1529,8W
1530,4X
1531,12K
1532,12O
1533,12T
1534,9A
1535,4A
1536,10O
1537,12D
1538,4G
1539,8J
1540,5W
1541,7T
1542,3B
1543,1X
1544,4C
1545,4Q
1546,2T
1547,1U
1548,12A
1549,11G
1550,10D
1551,1U
1552,7K
1553,8A
1554,10S
1555,3F
1556,9T
1557,4O
1558,6O
1559,6F
1560,5D
1561,11V
1562,9A
1563,8P
1564,11T
1565,2X
1566,5D
1567,7F
1568,6Y
1569,1O
1570,9D
1571,2R
1572,5B
1573,11P
1574,6O
1575,3Z
1576,7R
1577,6T
1578,10M
1579,11Q
1580,3B
1581,10R
1582,10C
1583,2Q
1584,8N
1585,1K
1586,6Z
1587,12K
1588,2M
1589,9I
1590,8O
1591,3N
1592,6S
1593,3P
1594,6R
1595,11X
1596,8M
1597,11V
1598,8H
1599,9I
1600,9V
1601,11P
1602,7W
1603,3M
1604,7G
1605,3V
1606,9S
1607,3N
1608,5T
1609,11G
1610,2O
1611,11G
1612,7G
1613,1R
1614,10N
1615,1T
1616,8M
1617,2P
1618,8I
1619,11K
1620,3P
1621,5P
1622,1K
1623,5G
1624,8Z
1625,9I
1626,9E
1627,11D
1628,8Y
1629,6W
1630,11M
1631,8N
1632,1W
1633,6O
1634,5P
1635,6W
1636,10N
1637,5T
1638,3K
1639,1W
1640,10H
1641,5H
1642,10T
1643,7W
1644,9K
1645,7I
1646,9M
1647,6W
1648,5N
1649,5X
1650,3X
1651,1Z
1652,11J
1653,4A
1654,6S
1655,6X
1656,6B
1657,10S
1658,1T
1659,2L
1660,4P
1661,3K
1662,9W
1663,10V
1664,4I
1665,10K
1666,12J
1667,8B
1668,9W
1669,3I
1670,12W
1671,2N
1672,1M
1673,6M
1674,7L
1675,7Z
1676,11C
1677,3O
1678,4K
1679,6Z
1680,4Q
1681,1E
1682,5T
1683,9X
1684,2F
1685,12U
1686,11B
1687,5K
1688,2P
1689,7Q
1690,8Y
1691,6B
1692,7Q
1693,4D
1694,8P
1695,9H
1696,1D
1697,11N
1698,11A
1699,5X
1700,6T
1701,11P
1702,2I
1703,12O
1704,10M
1705,8F
1706,5Z
1707,9Q
1708,9O
1709,9C
1710,1Y
1711,4T
1712,4X
1713,11P
1714,12E
1715,11L
1716,12Q
1717,3H
1718,2Z
1719,3F
1720,9Q
1721,3I
1722,9L
1723,7N
1724,8F
1725,1Q
1726,12Q
1727,12N
1728,5X
1729,3H
1730,6E
1731,2D
1732,3Z
1733,6C
1734,2A
1735,1H
1736,1Z
1737,7A
1738,3N
1739,10B
1740,6K
1741,2K
1742,6V
1743,3I
1744,4V
1745,9Q
1746,4R
1747,4V
1748,6F
1749,8J
1750,2C
1751,5V
1752,8J
1753,7J
1754,10R
1755,6B
1756,3Z
1757,5L
1758,12X
1759,6L
1760,2O
1761,1X
1762,12U
1763,2N
1764,1T
1765,11U
1766,11E
1767,10K
1768,1M
1769,7R
1770,5C
1771,12V
1772,7E
1773,11C
1774,2O
1775,6B
1776,7Q
1777,10K
1778,9X
1779,8D
1780,3X
1781,3S
1782,9R
1783,12D
1784,3W
1785,4I
1786,11S
1787,4M
1788,6E
1789,1W
1790,7Y
1791,3I
1792,10X
1793,9B
1794,3N
1795,6Z
1796,2U
1797,6C
1798,9L
1799,8Y
1800,3W
1801,7U
1802,7G
1803,1H
1804,9I
1805,10R
1806,8A
1807,2S
1808,3R
1809,11P
1810,5R
1811,11T
1812,3N
1813,7K
1814,7Y
1815,9I
1816,8L
1817,8L
1818,1M
1819,12D
1820,9Z
1821,10U
1822,2R
1823,10H
1824,10L
1825,3B
1826,4Y
1827,1E
1828,1T
1829,8M
1830,12P
1831,12F
1832,7J
1833,11O
1834,3U
1835,5O
1836,10C
1837,8H
1838,1J
1839,8L
1840,5I
1841,1Z
1842,3N
1843,6K
1844,8C
1845,12N
1846,2Y
1847,9B
1848,8O
1849,12V
1850,5E
1851,12O
1852,8B
1853,1X
1854,7W
1855,2A
1856,9D
1857,5H
1858,3U
1859,6U
1860,3S
1861,7S
1862,11Z
1863,9F
1864,2R
1865,9C
1866,4X
1867,1F
1868,7R
1869,10G
1870,6B
1871,5D
1872,8V
1873,4K
1874,11V
1875,9K
1876,6F
1877,12H
1878,1W
1879,2L
1880,4G
1881,9F
1882,7K
1883,10P
1884,9P
1885,12I
1886,6P
1887,3N
1888,12K
1889,12Z
1890,1O
1891,8G
1892,12L
1893,6J
1894,8C
1895,9G
1896,11H
1897,5B
1898,2Z
1899,8S
1900,11L
1901,12U
1902,12N
1903,8E
1904,6G
1905,8B
1906,8G
1907,6U
1908,6K
1909,2E
1910,4Q
1911,1F
1912,6U
1913,10X
1914,8S
1915,9Y
1916,3L
1917,10A
1918,11J
1919,3I
1920,2Z
1921,6Y
1922,5E
1923,12Z
1924,5R
1925,10N
1926,10H
1927,1D
1928,9K
1929,11S
1930,8K
1931,2B
1932,6B
1933,1W
1934,3Z
1935,1J
1936,9P
1937,4M
1938,11X
1939,5Z
1940,12G
1941,10M
1942,7A
1943,6P
1944,11Y
1945,5Z
1946,10G
1947,3R
1948,8B
1949,7S
1950,11W
1951,8M
1952,12R
1953,1B
1954,12R
1955,2N
1956,4W
1957,12H
1958,10M
1959,3R
1960,7X
1961,3G
1962,2J
1963,3T
1964,1B
1965,5R
1966,9S
1967,9N
1968,6A
